,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8
1,1,4,2,3,5,3,4,2
2,5,1,4,1,1,1,1,1
3,4,2,3,2,3,2,2,2
4,4,3,5,3,4,5,4,3
5,2,2,4,2,4,2,2,2
6,5,2,5,1,1,1,1,1
7,5,1,2,3,1,2,5,3
8,5,2,2,5,1,2,1,2
9,1,2,3,2,3,2,1,1
10,2,5,5,2,1,1,2,2
11,5,2,4,2,2,1,2,3
12,2,3,2,3,2,3,2,2
13,5,2,5,3,1,1,1,2
14,1,2,1,2,1,1,1,1
15,5,2,5,2,1,2,1,2
16,5,1,5,1,1,1,1,1
17,3,3,3,3,3,3,3,3
18,5,1,5,1,1,1,2,1
19,4,2,3,4,2,2,4,3
20,5,2,4,3,1,1,1,1
21,5,4,4,4,1,1,5,2
22,5,5,2,5,1,2,4,4
23,5,2,3,2,1,1,3,2
24,4,2,3,2,1,2,1,1
25,4,4,4,2,3,2,1,1
26,2,2,3,2,4,2,4,4
27,3,2,4,3,1,3,1,3
28,2,2,1,1,1,1,5,1
29,1,2,2,1,5,2,1,2
30,2,5,2,4,3,4,4,5
31,4,1,4,2,1,1,1,2
32,5,2,4,2,1,1,2,2
33,5,2,5,1,1,1,1,1
34,5,1,4,2,1,2,1,1
35,5,1,5,2,1,1,1,1
36,5,1,4,2,1,2,2,1
37,5,2,4,1,1,1,1,1
38,5,3,5,3,1,1,1,3
39,4,3,4,1,1,1,1,1
40,4,5,2,4,2,2,5,5
41,5,1,5,1,1,1,1,1
42,2,1,3,3,2,1,2,2
43,5,1,5,1,1,1,1,1
44,3,2,1,2,1,2,3,2
45,5,2,5,1,1,1,1,1
46,4,4,5,3,1,3,2,1
47,2,1,1,3,5,1,3,3
48,5,1,2,3,1,1,2,3
49,5,1,4,2,1,1,2,1
50,2,5,1,4,4,5,4,3
51,4,3,4,4,3,3,3,4
52,5,1,4,5,1,3,4,2
53,5,1,5,1,1,1,1,1
54,2,4,1,3,1,2,2,4
55,3,3,1,2,2,1,1,2
56,5,1,5,1,1,1,1,1
57,4,2,3,3,2,2,2,2
58,5,1,4,1,1,1,1,1
59,4,4,2,4,2,2,3,3
60,3,3,1,2,1,1,4,2
61,3,5,1,5,3,3,4,3
62,2,2,1,2,2,2,1,2
63,5,2,5,1,1,1,1,2
64,5,2,5,3,1,2,2,1
65,2,1,2,1,3,2,2,2
66,2,5,4,3,2,1,1,3
67,5,3,5,1,1,1,1,1
68,4,1,5,1,1,1,1,1
69,3,5,1,5,3,5,5,5
70,2,1,1,2,1,1,1,1
71,5,4,2,5,2,2,4,4
72,4,1,1,4,3,1,5,5
73,5,1,5,1,1,2,1,1
74,5,2,4,2,1,1,1,1
75,5,2,5,2,1,1,1,1
76,5,1,5,1,1,1,1,1
77,5,2,4,3,1,3,4,2
78,5,2,4,3,2,3,3,1
79,5,1,4,1,1,1,1,2
80,2,5,2,5,1,4,4,4
81,2,3,2,1,5,1,2,2
82,4,2,4,2,1,2,2,2
83,5,2,5,3,1,1,1,1
84,1,2,2,2,2,2,2,2
85,1,4,4,4,2,2,4,2
86,5,3,5,3,1,2,3,1
87,4,4,1,4,2,2,5,5
88,4,1,4,2,1,2,2,2
89,5,1,5,1,1,1,1,2
90,5,2,5,2,1,1,1,1
91,5,2,5,1,1,2,2,1
92,5,1,3,2,1,2,1,1
93,3,1,3,1,2,1,1,1
94,5,2,4,2,1,1,2,2
95,5,2,4,2,1,1,2,1
96,5,2,4,1,1,1,1,1
97,1,5,1,5,1,3,5,4
98,5,3,5,3,1,1,2,4
99,5,1,4,1,1,1,1,1
100,5,2,4,3,3,2,2,2
101,3,1,5,1,1,3,1,1
102,5,1,5,1,1,1,1,1
103,5,2,4,2,1,1,2,3
104,4,1,4,1,1,5,5,5
105,5,1,3,1,1,1,1,1
106,5,3,4,2,1,1,1,4
107,1,2,3,4,3,2,2,3
108,5,2,5,2,1,1,1,1
109,3,2,4,2,1,2,3,2
110,5,3,3,3,1,2,3,3
111,3,5,1,4,1,4,4,5
112,4,4,5,1,1,2,1,1
113,5,2,5,2,1,1,1,2
114,1,2,3,2,2,1,2,1
115,2,2,4,3,4,2,2,3
116,1,1,5,1,1,1,3,1
117,5,1,5,2,1,1,1,1
118,5,1,4,1,1,1,2,1
119,1,3,3,3,3,3,3,3
